query_id,family,length,method,retrieval_type,use_guidance,guidance_mode,use_dsr,k,neighbor_families,family_purity,top1_family_match,avg_similarity,sensitivity,ppv,f1,embed_query_time,retrieval_time,folding_time,total_time,heldout_family
16S_rRNA-Actinobacteria-X53202,16S_rRNA,1356,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,tRNA|group_I_intron|tmRNA|tRNA|group_I_intron|RfamFamily|tRNA|tmRNA|RNaseP|group_I_intron|group_I_intron|SRP|tRNA|SRP,0.0,0,0.04157177668630076,0.3273657289002558,0.3076923076923077,0.3172242874845105,1.1092892469996514,0.0006858489996375283,0.0,1.109975095999289,16S_rRNA
16S_rRNA-Actinobacteria-AB184670,16S_rRNA,1455,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,RfamFamily|tRNA|tRNA|tRNA|5S_rRNA|5S_rRNA|tRNA|tRNA|5S_rRNA|tRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,0.0,0,0.04119232347724492,0.36926605504587157,0.3522975929978118,0.3605823068309071,1.1031500939998296,0.0006570919995283475,0.0,1.103807185999358,16S_rRNA
16S_rRNA-Bacilli-AY576706,16S_rRNA,538,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,tRNA|tRNA|tRNA|5S_rRNA|tRNA|tRNA|tRNA|5S_rRNA|5S_rRNA|tRNA|5S_rRNA|tRNA|tRNA|RfamFamily,0.0,0,0.04521195116898672,0.5733333333333334,0.5512820512820513,0.5620915032679739,1.6973305009996693,0.0007023779999144608,0.0,1.6980328789995838,16S_rRNA
16S_rRNA-Bacilli-AJ315064,16S_rRNA,1310,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,RfamFamily|tRNA|tRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|tRNA|5S_rRNA|tRNA|5S_rRNA,0.0,0,0.04617459810033606,0.3951612903225806,0.3798449612403101,0.38735177865612647,1.788978732999567,0.0007154360000640736,0.0,1.789694168999631,16S_rRNA
16S_rRNA-Aquifcae-DQ834093,16S_rRNA,1376,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,RfamFamily|group_I_intron|tmRNA|SRP|RNaseP|SRP|RNaseP|RNaseP|SRP|group_I_intron|RfamFamily|group_I_intron|RNaseP|SRP,0.0,0,0.06868818289518584,0.42789598108747046,0.40492170022371365,0.4160919540229886,1.3708797239996784,0.0006078810001781676,0.0,1.3714876049998566,16S_rRNA
16S_rRNA-Alphaproteobacteria-AF007254,16S_rRNA,400,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,tRNA|RfamFamily|tRNA|tRNA|tRNA|tRNA|tRNA|5S_rRNA|5S_rRNA|group_I_intron|tRNA|group_I_intron|tRNA|tRNA,0.0,0,0.040314493139391165,0.5242718446601942,0.45,0.484304932735426,1.1804189799995584,0.0005757540002377937,0.0,1.1809947339997962,16S_rRNA
16S_rRNA-Actinobacteria-D45060,16S_rRNA,1486,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,tRNA|tRNA|tRNA|RfamFamily|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|5S_rRNA|tRNA|5S_rRNA,0.0,0,0.06120352444603116,0.3142857142857143,0.29065040650406504,0.3020063357972545,1.5353361480001695,0.0007799329996487359,0.0,1.5361160809998182,16S_rRNA
16S_rRNA-Actinobacteria-DQ180958,16S_rRNA,1356,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,RfamFamily|tRNA|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|tRNA|tRNA|tRNA,0.0,0,0.0472755910872819,0.23486682808716708,0.26430517711171664,0.24871794871794875,1.1833308919995034,0.0006044100000508479,0.0,1.1839353019995542,16S_rRNA
16S_rRNA-Actinobacteria-AY707843,16S_rRNA,547,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,tRNA|tRNA|5S_rRNA|5S_rRNA|5S_rRNA|tRNA|tRNA|RfamFamily|tRNA|tRNA|tRNA|5S_rRNA|tRNA|tRNA,0.0,0,0.042582468443619445,0.3643410852713178,0.2640449438202247,0.3061889250814332,1.1868993519992728,0.0005849839999427786,0.0,1.1874843359992155,16S_rRNA
16S_rRNA-Actinobacteria-AB196711,16S_rRNA,1437,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,RfamFamily|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|5S_rRNA,0.0,0,0.05776769169515218,0.3190045248868778,0.3019271948608137,0.3102310231023102,1.1967759069993917,0.00060989800022071,0.0,1.1973858049996124,16S_rRNA
16S_rRNA-Actinobacteria-AB184838,16S_rRNA,1480,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,RfamFamily|tRNA|tRNA|SRP|SRP|SRP|SRP|SRP|SRP|SRP|SRP|5S_rRNA|5S_rRNA|tRNA,0.0,0,0.04087072789400344,0.28,0.3050847457627119,0.29200463499420626,1.2261910560000615,0.0005940510000073118,0.0,1.2267851070000688,16S_rRNA
16S_rRNA-Actinobacteria-DQ419520,16S_rRNA,1454,rnafm_faiss_guided_k14_lofo,faiss,1,consensus,0,14,RfamFamily|tRNA|tRNA|RfamFamily|tRNA|tRNA|tRNA|tRNA|tRNA|tRNA|SRP|SRP|tRNA|tRNA,0.0,0,0.04857631477130275,0.232662192393736,0.22857142857142856,0.23059866962305983,1.2294076320004024,0.0005993750000925502,0.0,1.230007007000495,16S_rRNA
